input_text,target_expl,generated_expl
"he had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?, band, music store, or orchestra? commonsense says",it is a rule.,a concert is the only thing that contains a musical instrument.
"where can books be read?, shelf, table, or backpack? commonsense says",a table books be read,books are the only place that you can read
"something had the nerve to break into the garbage last night, what did it?, animal, brainstem, or human body? commonsense says",animal was died in garbage last night,"the human brain was killed when it tried to steal something it found, it was dead and killed at the airport"
"where can a human find clothes that aren't pants?, on planet earth, train wreck, or dress shop? commonsense says",dress place is the place for bought the pants,people wear clothes that can be found in a train station.
"the man had a fear of illness, so he never visited friends who were a what?, elderly person, doctor's office, or sick person? commonsense says",sick person can only had a fear of illness.,"since the person is not sick, he is most likely to get a illness."
"the kalahari is vast, it stretches all the way down to where?, namibia, botswana, or south africa? commonsense says",the kalahari is the name of a large desert in south africa.,the south pacific is the only option that is defined as a country.
"a human wants to submerge himself in water, what should he use?, soft drink, coffee cup, or whirlpool bath? commonsense says",most of the human wanted himself the whirlpool bath in the bathroom,water is a liquid that is stored in a water fountain.
"tweed is a rare fabric in modern clothing, what brand should i look for when buying it?, fabric store, eddie bauer, or clothing stores? commonsense says",eddie bauer is the famous for the modern clothing,the only place that might have
"when you fail to finish something, you failed at doing what to it, passing, succeeding, or completing? commonsense says",finish smothing to fail completing,"if you complete your task, you are not successful."
"where can you buy a replacement ax handle?, water fountain, fridge, or hardware store? commonsense says",hardware store is the only place for repairing the ax,hardware store is the only place to buy new razors.
"where is a ball player likely to get fresh air?, countryside, field, or park? commonsense says",ball players are usually found on a field,field is the only place with an open field for sports.
"what do you need to do to use television if it is already turned on?, open eyes, plug in, or kill? commonsense says","if the television is already on, the only thing i would have to do is open my eyes.",you don't need to plug a television to power up.
"dan was a farmer with just one heifer. but that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?, michigan, german field, or farm yard? commonsense says",dan was a farmer is a good,farm yard is the only place where he could get cold
"when a group of people are talking at work they might be doing what?, sharing of ideas, sneeze, or speak? commonsense says",is the best since it is the best backup,talking is a form of communication that is often done by talking around others.
"joe found spiders in the place where he keeps his tools. where might that be?, cupboard, mail box, or garage? commonsense says",tools are usually kept in garage.,tools are usually stored in drawers in basements.
"bob the lizard lives in a warm place with lots of water. where does he probably live?, jazz club, rocky places, or tropical rainforest? commonsense says","tropical rainforest is a warm place with lots of water, while the other two are not.",tropical areas are the only place that could live.
"what does everyone have in relation to other people?, unique personality, values, or feelings? commonsense says",relations is good feelings,a person who has a personality and has a unique personality.
"a creek is a body of water found in what low land?, forest, valley, or countryside? commonsense says",land of the valley of the creeek,is the best since it is the best backup
"talking to the same person about the same thing over and over again is something someone can what?, eye contact, get tired of, or social life? commonsense says",many people get tired of doing the same thing over and over.,when you meet someone you think of someone else
"the buildings were intended to not have residential kitchens in them, what were they designed for?, university, town, or large city? commonsense says",intended to not have residential is true,"apartment buildings have kitchens and are not necessarily residential, and therefore have kitchens."
"when are people buying products more?, economic boom, disagreements, or being able to use? commonsense says",being able to use,people often buy products in stores.
"if you spend a long time shopping in uncomfortable shoes, you might develop what?, bankruptcy, tiredness, or calluses? commonsense says",you may mistake a corn for a callus or just dead / dry skin on your foot.,shoes shouldnt be worn and you need to wear a shoelace
"how does going jogging generally affect one's self esteem?, feel better, sweating, or arthritis? commonsense says",jogging is better encouraging work,the best way to have a negative side effect is to not celebrate or feel better about yourself.
"when a person with mental illness receives medication and therapy, what has happened?, managed, recur, or effectively treated? commonsense says",effectively treatedn a person with mental illness receives medication and therapy,medication is a treatment for mental illness
"dad wanted to hide the check in his office, where did he put it?, pay envelope, desk drawer, or cash register? commonsense says",desk drawer is the best place to hide the check because it has some small cabins,cash registers are where money is stored.
"boredom and hunger led to a wandering waste of time and a cart full of unhealthy snacks during her trip to where?, grocery shop, see art, or read book? commonsense says",grocery shop is the only answer that is a place and makes sense as to where someone would be with a cart.,i consider it the best option because they have to be more true
"what did the policemen do when they heard a cry from a distance?, help, hurry along, or direct traffic? commonsense says",police is always helps people,they have internal instincts
"while waiting for this appointment, people often read magazines., table, market, or doctor? commonsense says",doctor waiting for this appointment,"people often read articles about their daily lives, and that is where they would find it."
"what is a person looking for when completing puzzles or riddles?, avoid pain, passing grade, or intellectual challenge? commonsense says",intellectual challenge person looking for when completing puzzles or riddles?,puzzle solved is the only answer that could help you to solve problems.
"dan fell off a bar stool. he did this because he was what than ever before?, tavern, drunker, or restaurant? commonsense says",the bar stoll in the drunker,"he was drinking, not drinking, and he was getting drunk"
"i'm having some food at my party, what will i need to serve it?, zoo, bowl, or spoon? commonsense says","food is consumed with a spoon, so this makes most sense.",a bowl is the only choice that a person would have to eat.
"for many males hair is a concern as they get older, it begins to what, causing a receding hairline?, fall out, composted, or thin out? commonsense says",fall out many males hair is a concern as they get older,a hair salon is the only answer that is a result of falling out of a hair.
"billy liked driving cars. he was good at it. but he was rattled ever since his father experienced what?, stress, transportation, or death? commonsense says",billy liked driving cars. he was good at it. but he was death rattled ever since his father,death is the only one that is a condition
"what would you do to a rock when climb up a cliff?, grab, may fall, or falling? commonsense says",climb up a cliff grab,you can't stand a fall or climb a mountain.
"if a person is working a lot, what are they likely trying to earn?, much money, caregiver, or creativity? commonsense says",much money would be a common result of working a lot.,a person must work hard and earn money.
"where does a heifer's master live?, stockyard, slaughter house, or farm house? commonsense says",a farmer would be the ruler of heifers on a farm.,a ferret that has not owned a female cow would have a young female cow because it has no fur.
"to what area does vegetation cling?, park, countryside, or surface of earth? commonsense says",this surface of earth does vegetation cling,countryside is the only answer that requires a vegetation
"where would you find a single shower curtain being used?, department store, bathtub, or hotel? commonsense says",a single shower curtain being used baththb,a hotel is the only place with a bed
"people do many things to alleviate boredom. if you can't get out of the house you might decide to do what?, meet interesting people, skateboard, or listen to music? commonsense says",to alleviate boredom people listen to music,skateboarding is done in a corner
"what is a salesman responsible to do at work?, sell products, get fired, or service account? commonsense says",sell products salesman responsible to do at work?,"selling products for a company or company, is a process of selling products to a company."
"it takes ambition to complete a job, but the first step is to what?, go to school, in charge of project, or begin work? commonsense says",begin work is the best way to gain a job,a task is the first step of completing a task.
"john got his tax refund back. he treated it like it was what?, death and, free money, or discount? commonsense says","many people consider a tax refund "" free money "", when it's not.","the opposite of "" giving money "" is to pay for the bills."
"if there is a place that is hot and arid, what could it be?, lifeless, freezing, or neutral? commonsense says","the arid zone includes places where the world's highest temperatures have been recorded, such as death valley in the usa",freezing is the only specific answer.
"he was at the gym trying to build muscle, what is it called that he is trying to build muscle on?, human body, arm, or bodybuilder? commonsense says","aug 9, 2017 - you don't get bigger in the gym ; all working out does is create the damage your... it's important to remember that a muscle building routine will take a considerable toll... trying to train your way out of an unhealthy lifestyle.",body is the only option that would have body and body
"where is a grape likely to be being fed to someone else?, painting, minnesota, or michigan? commonsense says",a painting chart of grapes can be ready to fed to some others.,michigan is a state in the midwestern region of the united states. it is a state in the united states.
"he picked up his pace to a run, he wanted to do what?, get away from, frightened, or go faster? commonsense says",his pace to a run picked up go faster,he wanted to go somewhere like running in the woods
"more people should lower the guard and just have fun, we don't got long just what?, enjoy living, enjoyable, or get laid? commonsense says",lowering your guard and just having fun is a part of enjoying living.,they have internal instincts
"what will happen to animals after eating food?, pass water, listen to each other, or feel pleasure? commonsense says",why some women don't feel pleasure during sex,animals feel good when they eat
"what region of a west coast u. s. city would you find a japanese restaurant?, california, tokio, or downtown? commonsense says",i consider it the best option because they have to be more true,california is a specific region in the us. the other two are too specific and too vague for a california city.
"the architect thought that a mezzanine would look good, but the planning committee rejected it. they told the architect that they felt it was a potential hazard given the ages of the people who would be using it. what might they be designing?, school, floors, or theater? commonsense says",a good architect can become from a school.,is the best since it is the best backup
"he was trying to procreate with many individuals, this led to a what?, kiss, moaning, or std? commonsense says",someone might ask why we should not raise the standard,sex is a very common way to have sex.
"what is a person likely to experience after they stop being married to a mean person?, isolation, happiness, or grief? commonsense says",happiness because you are no longer in an abusive relationship.,people who are single often feel isolation over themselves when they are married.
"the person signed up for home insurance, what is he seeking?, live well, good relationship, or financial security? commonsense says",getting insurance helps with financial security. the other two choices dont make sense,a home is the only option that provides security.
"where will a cheap book be found?, bedside table, discount store, or school room? commonsense says",what is discount store? definition and meaning,"because it's not a book store, but a book store is."
"the man was giving assistance to a pan handler in the streets, how did he give assistance?, out of pocket, law suits, or feel loved? commonsense says","meaning "" an act of begging "" is attested from 1849, perhaps from notion of arm stuck out like a panhandle, or of one who handles a ( beggar's ) pan.",people are known to give free mail to their customers.
"the cancer patient was expecting to die, so he made out his what?, never want, seek help, or write will? commonsense says",people having write will,i consider it the best option because they have to be more true
"blowfish require what specific thing to live?, sea water, body of water, or jungle? commonsense says","blowfish live in sea water, so they require it to live.",there is water in the body and water is very toxic.
"where can you buy a clock, clothing and wrenches?, school room, department store, or train station? commonsense says",department store | retailer,a school is the only place you can buy things.
"where would you acquire a wind instrument for you own use?, symphony, music room, or music store? commonsense says",a music store is the only place where you can buy a wind instrument for your own use.,a musical instrument store is the only place that sells a musical instrument.
"how many hours are in a day?, night, week, or twenty four? commonsense says",twenty four in a day,a week of work is the most likely answer because it's what happens when the sun is out.
"a person would join a trade school for finding information related to what?, ulcers, understanding of, or gaining knowledge? commonsense says",i knoledge it should gaining,a teacher learn about the trade
"why might a person be known as a liar?, made fun of, false information, or brain tumor? commonsense says",that false information in the person liar,"false stories are often false, and others are not false"
"where might it be hard to get furniture to?, store, loft, or rug? commonsense says","jun 27, 2012 - if you're like me, you might find it difficult to remember all of these factors while you're actually shopping at the furniture store. to make things.",furniture is found in most houses
"john was an aristocratic fox hunter. where might he live?, north dakota, new hampshire, or arkansas? commonsense says","fox hunting is an activity involving the tracking, chase and, if caught, the killing of a fox,... proponents of fox hunting view it as an important part of rural culture, and... of germany's hunting museum in munich, said of the ban, "" the aristocrats were..... can also be popular, either instead of, or in addition to, live quarry hunting.",new hampshire is the only state in the choices.
"the ball was hit over a boundary and struck an audience member. what kind of game were they playing?, society, basketball, or sporting event? commonsense says",sporting in the game planning is good,a sporting event is the only place where people play sports.
"where would i not want a fox?, hen house, england, or mountains? commonsense says",the fox would eat the hens.,"foxes can be found in the countryside, as they wouldn't be in a castle or a countryside."
"i want to buy a gong, where should i look for one?, chinatown, music store, or orchestra? commonsense says","gongs for sale from the gong shop in san francisco, ca. over 1000 hand - selected gongs fill our gong showroom. gongs shipping worldwide 1 - 855 - 225 - 7372.",you can't buy a music instrument at a music store or a music store. you can also buy a musical instrument at a music store.
"what are our bodies doing after having food?, not hungry, digesting, or weight gain? commonsense says",we are no longer hungry after eating and our food breaks down in our system.,eating food is the only option that makes sense after you're laid out.
"traveling from new place to new place is likely to be what?, diarrhea, going somewhere, or exhilarating? commonsense says",traveling from new place to new place is likely to be exhilarating,new york is a very new one
"if you are committing perjury you have done what while under oath?, lie, indictment, or crime? commonsense says","perjury is a criminal act that occurs when a person lies or makes statements that are not truthful while under oath. for example, if a person is asked to testify in a criminal proceeding and they are under oath but do not tell the truth, they can be charged with perjury if it is discovered that they have lied.",because i think it's the closest one
"what happens to a body after death?, decomposition, rebirth, or sadness? commonsense says",decomposition happens to a body after death?,a body is the only thing that is missing.
"in what spanish speaking north american country can you get a great cup of coffee?, mexico, canteen, or diner? commonsense says",mexico is the only spanish speaking north american country in the list,mexico is the only country in the list of countries
"i was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now i understand why people what?, play golf, care less, or trip over? commonsense says",: a. play golf apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass,it's the only one that involves injury
"what do you do when you're in a new place and want to see new things?, look around, new experience, or interesting? commonsense says","nov 23, 2018 - first things to do after moving into your new home... either the seller has fixed certain things for you or you will need to, at some point, make sure... it is much easier to replace flooring before you move into the house.... i cannot believe the things so many buyers say they will do and never get around to.",interesting is the only thing that i would want to experience
"sage loved communicating he liked doing what with his peers?, exchanging ideas, learning, or response? commonsense says","if one loves to communicate, it requires exchanging ideas with other people",when you learn about something you are learning and learning new things.
"what do people usually feel when falling in love?, happiness, suffering, or pain? commonsense says","love is a happy feeling, and not suffering or painful.",when people are sad they usually feel sorrow
"friday was james's 5th anniversary. they planned on going to bed early so that they could spend a long time doing what?, making love, insomnia, or sleeping in? commonsense says",making love planned on going to bed early so that they could spend a long time doing what?,laying in bed is the only option that would happen after the fall asleep.
"i took my seat, the curtains drew back and i enjoyed the what?, show, airplane, or auditorium? commonsense says",is the best since it is the best backup,an auditorium is a place where one is typically to see an audience.
"james noticed that his penis was bigger.. how might he act toward his plastic surgeon?, accidental, effusive, or detestable? commonsense says",his element may be cut off effusive,that's the best option since that's where there are more roses
"what does the sky do before a rain?, cloud over, rain water, or appear blue? commonsense says",the night sky before rain is therefore lit up somewhat,rain water falls from the sky to become a rain cloud.
"setting up framing, truss and beam are some of the first steps in what?, bridge, warehouse, or new construction? commonsense says",setting up framing most corresponds with new construction over a bridge or warehouse.,is the best since it is the best backup
"the person was in physical distress, where should he go?, bus stop, hospital, or building? commonsense says","collecting finely crafted fountain pens... in fact, one of these parker "" snake "" fountain pens from the first decade of the century recently ignited.... and numerous books on collectible fountain pens and hundreds of buying sites on the internet,...",hospital is the only place that is likely to be injured.
"what do you go to see for live entertainment?, movie, show, or theatre? commonsense says",show definition and meaning,theatre is a place where people go to enjoy their performances.
"what would vinyl be an odd thing to replace?, record albums, wallpaper, or record store? commonsense says",a wallpaper and vinyls be odd thing,vinyl is the only one that can be played on.
"loss of someone you love can cause what kind of feeling in your heart?, blind, painful, or contagious? commonsense says",what kind of feeling in your heart painful loss of someone you love can cause,people feel hurt about hurting someone
"her son scraped his knee, she fetched a bottle of peroxide from the what?, medicine cabinet, liquor store, or diaper bag? commonsense says",medicine cabinets usually have a mirrored front that can reflect your decorating style as well as your smile,medicine cabinet is the only place that is not likely to sell a medicine cabinet
"what was the man encouraged to do after he expressed his anger violently?, illustrate point, punch, or cool off? commonsense says",a good parent never gets angry at their child.,"the only reaction to saying "" punch "" is anger."
"when we are running what are we doing?, learn to walk, stretches, or go quickly? commonsense says","when we are running, we are moving at a fast pace opposed to when we learn to walk or stretch because when we learn to walk or stretch you move at a slow pace.",running is the fastest way of moving
"unlike a spider and his many sight seers, people only have what?, names, brains, or two eyes? commonsense says",sight seers have eyes,because seeing the question is the answer that best matches the question
"what does a child learn to do before school?, count to ten, state name, or dress herself? commonsense says",dress herself warning in the school,first grade is where you go to become a scholar
"the advertisement came in the form of a pop - up, where did it appear?, email, la ville, or web page? commonsense says",the web page in the pop - up,a lot of people read a lot of newspaper and articles will be posted on a web page.
"the freeway had no traffic and few buildings, where is it?, america, california, or countryside? commonsense says",the inhabitants of countryside areas.,freeway is the only option that is not a freeway and not a freeway
"the janitor never had much to clean after services, but there was still always a paper or two to pick up where?, synagogue, front porch, or grocery store? commonsense says",a synagogue is the only place that holds services.,grocery stores have a lot of people to clean up.
"i did not need a servant. i was not a what?, rich person, hired help, or freedom? commonsense says","rich people need servants, so it's most likely what i'm not if i don't need one.",servant servant servant only could provide a job
"what can happen to you when you are using television and it is not interesting?, entertainment, fall asleep, or turning off? commonsense says",the television use in fall asleep in ice,television is something that you can learn while at a time
"what will god never do according to religion?, work miracles, judge people, or everywhere? commonsense says",is the best option in all,"if a person does not believe that god is god, that is the only answer."
"paul wants carrots and doesn't need to drive anywhere. he gets them from where?, refrigerator, farmer's market, or supermarket? commonsense says",paul can find carrots in the refrigerator as carrots are stored in refrigerator.,grocery store is the only place he wouldn't go to.
"what will a person going for a jog likely be wearing?, comfortable clothes, passionate kisses, or ipod? commonsense says",comfortable clothes person going for a jog likely be wearing? answer choices :,cycling is a form of cycling where you would want to wear a cycling habit.
"what would you be building if you designed a place for an annoying critter to stay?, spread disease, fly away, or bug campers? commonsense says","bugs are annoying critters, and campers are where they could stay.",a buggy is a common place to keep a bugle.
"the trucker plopped on the bench with a sense of relief, where did he arrive?, rest area, state park, or garden? commonsense says",a rest area is the most likely place a trucker would stop to take a break on a bench.,it is the only place he would take home
"if i want a new ottoman, where should i go?, parlor, furniture store, or living room? commonsense says",you can buy new furniture at the furniture store,furniture is sold at the furniture store.
"she was always helping at the senior center, it brought her what?, pay, happiness, or heart? commonsense says",she would experience joy and happiness helping the elderly.,"it is a tradition to have a healthy relationship with someone, who is also well known."
"james tore the antenna off of his boat due to bad reception as he was crossing the channel from france. where was he going?, television, river, or england? commonsense says","the english channel also called simply the channel, is the body of water that separates... folk etymology has derived it from a celtic word meaning channel that is... and the channel islands, british crown dependencies off the coast of france..... the ferriby boats, hanson log boats and the later dover bronze age boat... missing","in order for communication of a radio station, one must have transmitted to the sky to the south of england."
"she said that it was lame, but she really didn't she was just trying to play what?, cool, convincing, or efficient? commonsense says","cool is the only thing that corresponds with lame / is the opposite of it, so it works best.",being charming means that you are being polite.
"pens, computers, text books and paper clips can all be found where?, desktop, university, or drawer? commonsense says",i was written my university exam in pen,office is the only place that is not likely to sell a lantern.
"what does a stove do to the place that it's in?, brown meat, gas or electric, or warm room? commonsense says",the stove put in warm room and safe,electric heaters are used to heat up the house
"sally thought that competing wasn't worth the risk. if she pushed more what might happen?, trying harder, pressure, or death? commonsense says",she pushed more he died,"if you're trying to win, you might lose."
"the extremely large cargo plane could only land at a specialized runway, these were only located at a what?, bowling alley, military base, or city? commonsense says",military base large cargo plane could only land,military base would have a cargo shuttle
"where do cars usually travel at very high speeds?, race track, road, or freeway? commonsense says",travel at very high speeds is a bad,the speed limit is faster here
"what do you do when you're going to market?, see other people, traveling, or buy food? commonsense says","if you're brand new to email marketing, you can try it out for free! sign up... research shows the average attention span of an adult is about six to eight seconds.",markets are usually located in towns not in cities or in other places
"there was many a bottle to choose from behind the cashier where?, medicine cabinet, liquor store, or diaper bag? commonsense says",liquor store was many a bottle to choose from behind the cashier,the medicine cabinet is the only place that is not likely to sell a lantern.
"he wasn't the hugging type, even when he meet friend he'd just do what?, handshake, have sex, or conversation? commonsense says",a. handshakehe wasn't the hugging type answer choices :,talking helps people not be rude or rude.
"where might you see a green field while driving?, rural area, countryside, or meadow? commonsense says",countrysides typically have green fields,"a countryside is the only option where you would see something green, not grass."
"he was afraid he would die from his cold, so he wisely decided to what?, seek help, never want, or write will? commonsense says",seeking help afraid die from his cold,i consider it the best option because they have to be more true
"when people are playing a game, what is their motivation to play?, desire to win, destroy each other, or run amok? commonsense says",a winners can be make from a game.,the goal of a game is to win.
"what would you do if you have curiosity but are blind and paralyzed?, see favorite show, go somewhere, or analyse? commonsense says",analyses have curiosity but are blind and paralyzed,"you are blind, you can see a person through a television, but you can see things."
"what uses a ribbon to put words on paper?, floral arrangement, girl's hair, or typewriter? commonsense says",typewriter put words on paper,paper sheets are used for writing
"you can do knitting to get the feeling of what?, relaxation, your, or arthritis? commonsense says",you are focusing on a repetitive task.,relaxation is a feeling that you get from doing something and you feel tired.
"what skill is needed for riding a bike?, good balance, pedalling, or practice? commonsense says","cycling is a healthy form of physical activity [ 14 ] and a non - weight bearing activity that is less stressful on the body than jogging or other running sports.... however, there is some evidence that cycling is associated with increased leg strength and balance, important risk factors for falling.","you can't pedal if you are good at riding a bike, you have a chance to gain control."
"obstructing justice is sometimes an excuse used for police brutality which causes what in people?, prosecution, committing perjury, or getting hurt? commonsense says",getting hurt sometimes an excuse used for police brutality which causes what in people?,police officers are charged with taking over a person in court.
"transmission, get arrested, fights, or disease? commonsense says",a particular quality or disposition regarded as adversely affecting a person or group of people.,disease is the only option that can be caught.
"the marshal had the fugitive in sight, but the fugitive didn't move because he thought he was well what?, hidden, out of sight, or distant? commonsense says","the dance is basically performed during the ghumra puni festival of odisha and dancers create some circle and do some slow circular movement at the beginning of the dance. the drum players use to stay in the centre of these circles, and they use to control the dancers with their rhythm. jan 28, 2018",he was not likely to be hiding in a woods or a woods.
"where can you keep letter opener when it likely to be needed soon?, stationery store, office supply store, or dek? commonsense says",keep letter opener to dek,office supply stores don't always use a keyboard and a desk is more likely to be installed in a office building.
"i am cold, what should i do to stay warm?, spit, light fire, or stay in bed? commonsense says",light fire on sun,warm is the only answer that makes sense as something cold is cold
"the music was festive but why are the horses dancing in circles, night club, carnival, or opera? commonsense says","the dance is basically performed during the ghumra puni festival of odisha and dancers create some circle and do some slow circular movement at the beginning of the dance. the drum players use to stay in the centre of these circles, and they use to control the dancers with their rhythm. jan 28, 2018",the opera is often accompanied with songs.
"the teacher wanted a treat to reward students, the teacher bought some bubblegum where?, pocket, street, or supermarket? commonsense says",in supermarket teacher wanted a treat to reward students.,the supermarket is the best place to buy a new bottle.
"when a human is earning money, where are they often found?, deep thought, friend's house, or place of work? commonsense says",the place of work is the location in which a currently employed person,a home is the only place where people can spend money.
"what could happen if someone is seeing new presents at a birthday party?, fear, excitement, or education? commonsense says",birthday party seeing new presents at a excitement,new year is the only one that is likely to give someone a gift.
